"INDIC_IS","GEO","TIME","IND_TYPE","UNIT","Value","Flag and Footnotes"
"Individuals who have low overall digital skills","Belgium","2015","All Individuals","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Belgium","2015","Males, 16 to 74 years old","Percentage of individuals","23",""
"Individuals who have low overall digital skills","Belgium","2015","Females, 16 to 74 years old","Percentage of individuals","26",""
"Individuals who have low overall digital skills","Belgium","2019","All Individuals","Percentage of individuals","29",""
"Individuals who have low overall digital skills","Belgium","2019","Males, 16 to 74 years old","Percentage of individuals","28",""
"Individuals who have low overall digital skills","Belgium","2019","Females, 16 to 74 years old","Percentage of individuals","31",""
"Individuals who have low overall digital skills","Bulgaria","2015","All Individuals","Percentage of individuals","25",""
"Individuals who have low overall digital skills","Bulgaria","2015","Males, 16 to 74 years old","Percentage of individuals","26",""
"Individuals who have low overall digital skills","Bulgaria","2015","Females, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Bulgaria","2019","All Individuals","Percentage of individuals","38",""
"Individuals who have low overall digital skills","Bulgaria","2019","Males, 16 to 74 years old","Percentage of individuals","40",""
"Individuals who have low overall digital skills","Bulgaria","2019","Females, 16 to 74 years old","Percentage of individuals","36",""
"Individuals who have low overall digital skills","Czechia","2015","All Individuals","Percentage of individuals","23",""
"Individuals who have low overall digital skills","Czechia","2015","Males, 16 to 74 years old","Percentage of individuals","22",""
"Individuals who have low overall digital skills","Czechia","2015","Females, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Czechia","2019","All Individuals","Percentage of individuals","24","bu"
"Individuals who have low overall digital skills","Czechia","2019","Males, 16 to 74 years old","Percentage of individuals","25","bu"
"Individuals who have low overall digital skills","Czechia","2019","Females, 16 to 74 years old","Percentage of individuals","24","bu"
"Individuals who have low overall digital skills","Denmark","2015","All Individuals","Percentage of individuals","20",""
"Individuals who have low overall digital skills","Denmark","2015","Males, 16 to 74 years old","Percentage of individuals","18",""
