"INDIC_IS","GEO","TIME","UNIT","IND_TYPE","Value","Flag and Footnotes"
"Internet use: doing an online course (of any subject)","Belgium","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Belgium","2010","Percentage of individuals","All Individuals","4",""
"Internet use: doing an online course (of any subject)","Belgium","2015","Percentage of individuals","All Individuals","6",""
"Internet use: doing an online course (of any subject)","Belgium","2019","Percentage of individuals","All Individuals","9",""
"Internet use: doing an online course (of any subject)","Bulgaria","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Bulgaria","2010","Percentage of individuals","All Individuals","2",""
"Internet use: doing an online course (of any subject)","Bulgaria","2015","Percentage of individuals","All Individuals","3",""
"Internet use: doing an online course (of any subject)","Bulgaria","2019","Percentage of individuals","All Individuals","2",""
"Internet use: doing an online course (of any subject)","Czechia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Czechia","2010","Percentage of individuals","All Individuals","1",""
"Internet use: doing an online course (of any subject)","Czechia","2015","Percentage of individuals","All Individuals","3",""
"Internet use: doing an online course (of any subject)","Czechia","2019","Percentage of individuals","All Individuals","6","b"
"Internet use: doing an online course (of any subject)","Denmark","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Denmark","2010","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Denmark","2015","Percentage of individuals","All Individuals","7",""
"Internet use: doing an online course (of any subject)","Denmark","2019","Percentage of individuals","All Individuals","12",""
"Internet use: doing an online course (of any subject)","Germany (until 1990 former territory of the FRG)","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Germany (until 1990 former territory of the FRG)","2010","Percentage of individuals","All Individuals","3",""
"Internet use: doing an online course (of any subject)","Germany (until 1990 former territory of the FRG)","2015","Percentage of individuals","All Individuals","4",""
"Internet use: doing an online course (of any subject)","Germany (until 1990 former territory of the FRG)","2019","Percentage of individuals","All Individuals","8",""
